"","id","name","Age.Class","Age.Group","Sex","Rank","RankStand","Hair.pattern","Tool.user","n_Focals","Focal.Effort","instrengthG","outstrengthG","indegreeG","outdegreeG","eigenG"
"1","Chg","Chang","Subadult","3.5 - 4.5","Male",11,4.78260869565217,"Hybrid-like","Yes",70,21000,0.0365874510278403,0.0317567787976857,4,5,0.146736206207641
"2","Chk","Chohk","Juvenile","2.5 - 3.5","Male",17,7.39130434782609,"Common-like","Yes",75,22500,0,0.0182453284021167,0,4,0.0702868648048752
"3","Dam","Dam","Juvenile","1.5 - 2.5","Female",18,7.82608695652174,"Hybrid-like","No",71,21300,0.0335369939047258,0.0251936288700274,6,6,0.413347694934361
"4","Dto","Dtao","Subadult","3.5 - 4.5","Male",9,3.91304347826087,"Common-like","Yes",69,20700,0.0126086589393519,0.0176086578515646,3,3,0.106030993645039
"5","Fgn","Fangnaam","Juvenile","1.5 - 2.5","Male",20,8.69565217391304,"Hybrid-like","Yes",70,21000,0.0428860488369822,0.00799587478039801,4,3,0.255731542263819
"6","Fhn","Fohn","Adult","> 5.5","Female",14,6.08695652173913,"Hybrid-like","No",151,45300,0.0559914967459295,0.0196124271625782,9,3,0.757856373948163
"7","Grb","Grabain","Subadult","4.5 - 5.5","Male",7,3.04347826086957,"Common-like","Yes",49,14700,0.00466002523186269,0.00191256830601093,3,1,0.011959752593853
"8","Hee","Heen","Subadult","3.5 - 4.5","Male",8,3.47826086956522,"Hybrid-like","Yes",79,23449,0.023800627936229,0.0276096857169421,5,9,0.190316312451704
"9","Hep","Hep","Adult","> 5.5","Female",17,7.39130434782609,"Hybrid-like","Yes",144,43239,0.0257954244581719,0.00382418947968141,10,3,0.164259952067051
"10","Hkr","Hoikrang","Juvenile","2.5 - 3.5","Female",20,8.69565217391304,"Common-like","No",66,19730,0.0167368011135359,0.0128073886724384,3,5,0.091470684210448
"11","Hmp","Hoimalangpu","Juvenile","1.5 - 2.5","Female",21,9.1304347826087,"Hybrid-like","No",65,19500,0.0491013019336663,0.0606584594395613,7,9,0.924504007527972
"12","Htk","Hoitak","Subadult","3.5 - 4.5","Female",19,8.26086956521739,"Hybrid-like","Yes",65,19500,0.0161162091511263,0.0410252120901097,6,7,0.311548499325338
"13","Jan","Jan","Adult","> 5.5","Female",8,3.47826086956522,"Hybrid-like","Yes",71,21300,0.0295603582335723,0.0102865972323176,8,5,0.178473952552016
"14","Jgr","Jingrit","Juvenile","1.5 - 2.5","Male",22,9.56521739130435,"Common-like","No",73,21900,0.0285338285420284,0.00814071644478745,4,2,0.0983055743983612
"15","Jsl","Jonesalat","Adult","> 5.5","Male",15,6.52173913043478,"Common-like","No",62,18600,0.0216766875100208,0.0325092191758858,3,3,0.104879690034046
"16","Kmk","Kaimook","Adult","> 5.5","Female",2,0.869565217391304,"Common-like","Yes",85,25500,0.0457599139087214,0.0632868977892538,16,12,0.571008048614733
"17","Kmy","Kamoy","Subadult","4.5 - 5.5","Male",2,0.869565217391304,"Common-like","Yes",59,17700,0.022707005816878,0.0159237996359208,5,4,0.0937607614256185
"18","Kng","Kung","Juvenile","1.5 - 2.5","Male",18,7.82608695652174,"Hybrid-like","Yes",65,19500,0.0452799247639707,0.0353154047208639,9,9,0.742563169219664
"19","Krb","Krabi","Adult","> 5.5","Male",13,5.65217391304348,"Hybrid-like","Yes",23,6900,0.00222222222222222,0,1,0,0.00564711462587583
"20","Krg","Kangrang","Adult","> 5.5","Male",10,4.34782608695652,"Common-like","Yes",60,18000,0.00737777777777778,0.00296296296296296,2,1,0.0638750913701361
"21","Kwg","Kwang","Adult","> 5.5","Female",10,4.34782608695652,"Hybrid-like","Yes",166,49800,0.0253307475859079,0.0265649374103114,10,9,0.22519555553946
"22","Kwn","Kwan","Subadult","4.5 - 5.5","Male",3,1.30434782608696,"Hybrid-like","Yes",45,13500,0.00571274191963847,0.00402298850574713,2,1,0.029629469388692
"23","Lhm","Lohm","Adult","> 5.5","Female",7,3.04347826086957,"Hybrid-like","Yes",69,20700,0.0452969779881841,0.0383633855325646,6,8,0.305233031983459
"24","Moo","Moo","Juvenile","2.5 - 3.5","Male",23,10,"Hybrid-like","Yes",73,21900,0.0216309127882781,0.0264650293890772,5,7,0.196718995585872
"25","Mrk","Mork","Adult","> 5.5","Female",3,1.30434782608696,"Hybrid-like","Yes",136,40800,0.0586326724871765,0.100306924595477,15,22,1
"26","Mty","Maintalay","Juvenile","1.5 - 2.5","Female",13,5.65217391304348,"Hybrid-like","No",67,20100,0.0124337882684201,0.0289011580125607,4,7,0.261197208828109
"27","Nak","Naak","Juvenile","2.5 - 3.5","Male",19,8.26086956521739,"Common-like","Yes",73,21900,0.0287538593448904,0.0474398490732811,8,10,0.179090676795064
"28","Nee","Neem","Adult","> 5.5","Female",9,3.91304347826087,"Hybrid-like","No",67,20100,0.0176496040800521,0.056594159499349,4,15,0.342593471328401
"29","Ngk","Nguak","Adult","> 5.5","Female",23,10,"Common-like","No",72,21600,0.00521361951131361,0.0260546233033534,4,6,0.127710933963662
"30","Ngr","Nangrohm","Adult","> 5.5","Female",25,10.8695652173913,"Hybrid-like","Yes",124,37200,0.034513905313531,0.023859877002545,10,7,0.379054294947212
"31","Nhk","Nohk","Subadult","4.5 - 5.5","Female",6,2.60869565217391,"Common-like","Yes",187,56124,0.0483646302483009,0.0287955745610539,18,15,0.53060801013917
"32","Nms","Nomsao","Adult","> 5.5","Female",11,4.78260869565217,"Hybrid-like","Yes",75,22500,0.0155169665896442,0.0705682023575787,5,11,0.294826599844041
"33","Noi","Noi","Adult","> 5.5","Female",24,10.4347826086957,"Hybrid-like","Yes",67,20103,0.0720151875211424,0.00627238519138707,8,4,0.468613363397184
"34","Nrk","Narak","Juvenile","1.5 - 2.5","Female",26,11.304347826087,"Common-like","No",73,21900,0.0123732609681626,0.0222145061889683,3,5,0.300884043182729
"35","Pet","Pet","Adult","> 5.5","Female",1,0.434782608695652,"Hybrid-like","Yes",72,21600,0.0277420428390828,0.0526796787472272,7,10,0.312207498090404
"36","Pld","Pladao","Juvenile","1.5 - 2.5","Female",12,5.21739130434783,"Hybrid-like","Yes",73,22245,0.0173213898294222,0.0344213855060649,2,8,0.201627436981396
"37","Plw","Plawan","Subadult","4.5 - 5.5","Male",1,0.434782608695652,"Hybrid-like","Yes",62,18600,0.04005211809383,0.0346520860841805,6,4,0.190707704853518
"38","Poo","Poo","Adult","> 5.5","Female",4,1.73913043478261,"Common-like","No",89,26700,0.0401065070162463,0.0582234709902409,13,9,0.574970010731803
"39","Pri","Priang","Juvenile","1.5 - 2.5","Male",21,9.1304347826087,"Hybrid-like","No",71,21300,0.0146268822319905,0.00641961474142451,5,5,0.165030793032569
"40","Suy","Suay","Adult","> 5.5","Female",16,6.95652173913043,"Common-like","No",67,20100,0.0202503247395016,0.0374581683944759,7,9,0.194773290845241
"41","Yak","Yak","Adult","> 5.5","Male",6,2.60869565217391,"Common-like","No",61,18300,0.0239348476368159,0.00362666666666667,3,1,0.0410452546026403
"42","Yng","Ying","Adult","> 5.5","Female",5,2.17391304347826,"Hybrid-like","No",87,26100,0.0355149800087697,0.0262127918406164,9,8,0.37154428968994
